TRADEDATE,Open,High,Low,Close,Volume
2015-01-05,9728.0,10225.0,9700.0,9877.0,98677
2015-01-06,9945.0,10710.0,9931.0,10400.0,259484
2015-01-08,10401.0,11010.0,10352.0,10627.0,208567
2015-01-09,10711.0,10787.0,10105.0,10542.0,176296
2015-01-12,10530.0,10999.0,10405.0,10689.0,165464
2015-01-13,10618.0,11271.0,10521.0,11180.0,145772
2015-01-14,10856.0,11480.0,10856.0,11450.0,183178
2015-01-15,11460.0,11689.0,11257.0,11304.0,183141
2015-01-16,11304.0,11450.0,11122.0,11350.0,156920
2015-01-19,10905.0,11480.0,10905.0,11235.0,136269
2015-01-20,11196.0,11420.0,11082.0,11395.0,130418
2015-01-21,11363.0,11870.0,11302.0,11855.0,151669
2015-01-22,11868.0,12346.0,11722.0,12070.0,157226
2015-01-23,12004.0,12332.0,11680.0,11750.0,163136
2015-01-26,11602.0,11714.0,11317.0,11540.0,181632
2015-01-27,11375.0,11530.0,11150.0,11270.0,183109
2015-01-28,11300.0,11410.0,10122.0,10200.0,255561
2015-01-29,10105.0,10850.0,10052.0,10550.0,225657
2015-01-30,10566.0,10937.0,10515.0,10590.0,164334
2015-02-02,10700.0,10752.0,10190.0,10190.0,126546
2015-02-03,10309.0,10646.0,10175.0,10400.0,112906
2015-02-04,10499.0,10523.0,10150.0,10340.0,95639
2015-02-05,10050.0,10392.0,9951.0,10235.0,370427
2015-02-06,10318.0,11180.0,10200.0,11075.0,335360
2015-02-09,11109.0,11813.0,10950.0,11440.0,388873
2015-02-10,11400.0,11575.0,11350.0,11490.0,109253
2015-02-11,11550.0,11680.0,11461.0,11500.0,148764
2015-02-12,11589.0,12248.0,11251.0,11855.0,364666
2015-02-13,11950.0,12298.0,11949.0,12250.0,280364
2015-02-16,12279.0,12279.0,11780.0,11920.0,158881
2015-02-17,11878.0,12120.0,11735.0,11820.0,113759
2015-02-18,12068.0,12068.0,11646.0,11766.0,174162
2015-02-19,11710.0,11889.0,11612.0,11800.0,101396
2015-02-20,11800.0,11926.0,11703.0,11796.0,87165
2015-02-24,11750.0,11800.0,11401.0,11687.0,128026
2015-02-25,11650.0,11653.0,11289.0,11510.0,96344
2015-02-26,11545.0,11630.0,11362.0,11574.0,79404
2015-02-27,11478.0,11500.0,11160.0,11305.0,93247
2015-03-02,11423.0,11510.0,11265.0,11367.0,85167
2015-03-03,11816.0,11816.0,11343.0,11650.0,143831
2015-03-04,11643.0,11651.0,11060.0,11100.0,98214
2015-03-05,11164.0,11560.0,11054.0,11360.0,105001
2015-03-06,11335.0,11399.0,11178.0,11347.0,79403
2015-03-10,11300.0,11345.0,10612.0,10820.0,200575
2015-03-11,10821.0,10989.0,10650.0,10835.0,92466
2015-03-12,11177.0,11177.0,10452.0,10600.0,135982
2015-03-13,10650.0,10650.0,10233.0,10350.0,125868
2015-03-16,10279.0,10575.0,10216.0,10350.0,130692
2015-03-17,10406.0,10567.0,10256.0,10360.0,83403
2015-03-18,10806.0,10810.0,10313.0,10699.0,101935
2015-03-19,10800.0,10985.0,10500.0,10500.0,120607
2015-03-20,10128.0,10900.0,10128.0,10900.0,105987
2015-03-23,10892.0,10957.0,10519.0,10550.0,69896
2015-03-24,10586.0,10875.0,10500.0,10798.0,69485
2015-03-25,10806.0,11020.0,10733.0,11000.0,104477
2015-03-26,11034.0,11297.0,10873.0,11140.0,159709
2015-03-27,11140.0,11170.0,10930.0,11038.0,96403
2015-03-30,11002.0,11305.0,11002.0,11185.0,92782
2015-03-31,11210.0,11507.0,11140.0,11350.0,106532
2015-04-01,11345.0,11790.0,11300.0,11750.0,148894
2015-04-02,11755.0,12000.0,11629.0,11971.0,140070
2015-04-03,11985.0,12020.0,11799.0,11799.0,48676
2015-04-06,11934.0,11990.0,11660.0,11900.0,68376
2015-04-07,12218.0,12218.0,11815.0,12020.0,155846
2015-04-08,12190.0,12190.0,11856.0,11890.0,85515
2015-04-09,11913.0,11948.0,11310.0,11744.0,198304
2015-04-10,11799.0,11870.0,11560.0,11711.0,92784
2015-04-13,11718.0,12300.0,11662.0,12300.0,179383
2015-04-14,12200.0,12200.0,11801.0,11801.0,117503
2015-04-15,11840.0,11948.0,11600.0,11870.0,129577
2015-04-16,11903.0,11941.0,11600.0,11600.0,109652
2015-04-17,11620.0,11750.0,11401.0,11520.0,107794
2015-04-20,11550.0,11792.0,11429.0,11664.0,102629
2015-04-21,11952.0,12260.0,11717.0,12207.0,181243
2015-04-22,12250.0,12340.0,11942.0,12135.0,193559
2015-04-23,12504.0,12504.0,11575.0,11900.0,147007
2015-04-24,11540.0,12050.0,11540.0,11824.0,82688
2015-04-27,11840.0,11989.0,11327.0,11577.0,99755
2015-04-28,11503.0,11683.0,11350.0,11350.0,97354
2015-04-29,11265.0,11560.0,11265.0,11458.0,75585
2015-04-30,11450.0,11590.0,11250.0,11280.0,166963
2015-05-05,11312.0,11387.0,10971.0,11038.0,186130
2015-05-06,11044.0,11288.0,10896.0,11083.0,79328
2015-05-07,11082.0,11165.0,10803.0,11090.0,124335
2015-05-08,11100.0,11475.0,11075.0,11295.0,99751
2015-05-12,11302.0,11354.0,11120.0,11220.0,105105
2015-05-13,11253.0,11265.0,11055.0,11100.0,69996
2015-05-14,11110.0,11457.0,11040.0,11240.0,72367
2015-05-15,10849.0,11460.0,10849.0,11372.0,92302
2015-05-18,11376.0,11400.0,10990.0,11042.0,101698
2015-05-19,11085.0,11175.0,10851.0,10986.0,70604
2015-05-20,11000.0,11000.0,10707.0,10940.0,38070
2015-05-21,10900.0,11084.0,10691.0,11035.0,63428
2015-05-22,11006.0,11116.0,10850.0,11020.0,41533
2015-05-25,11020.0,11020.0,10763.0,10910.0,54026
2015-05-26,11188.0,11188.0,10770.0,10813.0,54519
2015-05-27,10823.0,10837.0,10552.0,10653.0,64747
2015-05-28,10655.0,10790.0,10606.0,10655.0,42459
2015-05-29,10695.0,10943.0,10510.0,10510.0,114596
2015-06-01,10580.0,10780.0,10456.0,10456.0,67218
2015-06-02,10525.0,10943.0,10428.0,10892.0,85847
2015-06-03,10910.0,10978.0,10510.0,10765.0,109897
2015-06-04,10780.0,10885.0,10600.0,10750.0,104214
2015-06-05,10780.0,10897.0,10638.0,10685.0,90875
2015-06-08,10690.0,10875.0,10560.0,10654.0,73743
2015-06-09,10688.0,11080.0,10619.0,11005.0,86886
2015-06-10,11035.0,11100.0,10894.0,10895.0,69077
2015-06-11,11030.0,11130.0,10755.0,11130.0,179516
2015-06-15,11111.0,11243.0,10895.0,11236.0,125609
2015-06-16,11240.0,11566.0,11118.0,11556.0,114534
2015-06-17,11500.0,11780.0,11480.0,11520.0,142641
