TRADEDATE,Open,High,Low,Close,Volume
2022-01-19,232.9,249.0,221.03,244.86,360958990
2022-01-20,244.17,263.0,240.01,254.61,329113650
2022-01-21,252.99,259.08,246.0,246.9,295690670
2022-01-24,246.51,249.88,226.0,236.97,325829650
2022-01-25,237.0,243.55,231.0,239.59,232596970
2022-01-26,240.5,245.17,233.3,236.9,224840650
2022-01-27,235.0,260.0,233.1,254.29,301306340
2022-01-28,255.87,262.0,252.02,257.82,204180270
2022-01-31,258.98,269.6,258.81,269.42,156175080
2022-02-01,269.72,273.1,260.56,264.7,170396140
2022-02-02,265.88,266.91,254.52,261.0,170215080
2022-02-03,258.45,259.87,250.06,250.79,151173100
2022-02-04,251.99,259.74,251.91,256.53,127035170
2022-02-07,256.99,260.53,253.52,257.61,85586640
2022-02-08,257.6,269.9,256.52,269.8,161506220
2022-02-09,270.01,279.71,270.0,279.09,193575010
2022-02-10,279.2,282.3,273.67,275.2,180148360
2022-02-11,274.9,275.87,259.61,260.83,213954390
2022-02-14,256.69,259.5,245.1,256.7,357654570
2022-02-15,257.89,274.0,257.51,274.0,271518670
2022-02-16,276.88,281.0,274.15,277.78,195822410
2022-02-17,277.0,277.0,259.36,260.58,262088700
2022-02-18,262.13,267.0,245.0,250.28,270594740
2022-02-21,249.15,258.32,184.3,201.0,1084508440
2022-02-22,198.72,219.9,182.03,208.53,946020570
2022-02-24,187.54,187.54,89.59,132.18,829355880
2022-02-25,123.75,152.89,115.11,131.12,396287150
2022-03-24,131.0,156.2,130.15,136.24,159464350
2022-03-25,137.0,147.0,128.2,131.5,57662950
2022-03-28,130.6,131.47,125.0,125.0,33212430
2022-03-29,126.16,137.57,122.0,128.77,72338740
2022-03-30,136.89,138.4,131.11,134.6,35675450
2022-03-31,135.25,147.41,134.52,143.69,118425000
2022-04-01,145.0,155.4,144.51,154.5,118880720
2022-04-04,158.76,166.88,150.2,166.0,115938910
2022-04-05,169.83,169.9,147.76,154.1,130342790
2022-04-06,143.51,153.3,140.65,141.6,109040410
2022-04-07,143.1,149.9,142.5,147.5,58839040
2022-04-08,149.05,151.0,141.06,143.72,48450590
2022-04-11,144.09,146.98,138.5,138.69,47575830
2022-04-12,138.84,140.1,130.35,135.38,75388800
2022-04-13,136.78,138.14,132.72,135.5,39087840
2022-04-14,135.85,135.89,129.05,129.05,44368360
2022-04-15,128.55,131.72,125.12,130.88,46772550
2022-04-18,131.41,132.68,123.7,123.85,58500600
2022-04-19,123.85,123.85,115.36,120.3,79905700
2022-04-20,121.0,125.44,117.51,121.5,66603200
2022-04-21,121.97,123.05,117.85,118.65,40648560
2022-04-22,118.65,122.32,115.55,116.97,57466590
2022-04-25,116.0,116.4,111.5,111.9,45811390
2022-04-26,112.58,124.92,111.9,122.36,83540530
2022-04-27,123.0,131.73,120.6,131.11,115500050
2022-04-28,132.14,134.5,123.05,123.85,123541890
2022-04-29,123.67,130.0,122.8,128.8,87366110
2022-05-04,129.1,131.5,122.5,123.2,67289000
2022-05-05,124.21,125.54,122.75,124.8,42383000
2022-05-06,124.74,124.99,121.52,123.1,30602500
2022-05-11,123.0,126.05,121.86,123.34,32870440
2022-05-12,123.1,123.74,118.05,119.15,30846460
2022-05-13,120.45,121.59,118.2,120.2,22838020
2022-05-16,120.9,123.5,119.5,123.41,34940660
2022-05-17,124.0,127.78,123.65,127.75,41963590
2022-05-18,128.2,131.3,125.0,125.12,55565940
2022-05-19,125.31,126.86,123.21,125.6,34246550
2022-05-20,126.06,127.0,121.05,122.2,39288280
2022-05-23,121.5,122.5,118.9,119.46,37976200
2022-05-24,119.45,125.0,117.1,123.6,45164830
2022-05-25,124.11,125.5,120.5,124.15,53511900
2022-05-26,124.8,125.99,122.0,123.0,51985140
2022-05-27,123.0,123.5,120.9,121.22,32685350
2022-05-30,121.6,123.0,120.21,120.67,24957710
2022-05-31,120.0,120.0,117.62,118.3,29983170
2022-06-01,117.5,122.69,117.0,121.97,43785040
2022-06-02,121.9,122.39,118.5,119.0,42769900
2022-06-03,119.29,120.16,117.18,119.21,34341530
2022-06-06,119.26,120.35,118.29,118.78,22281970
2022-06-07,118.68,118.9,117.32,118.32,22274020
2022-06-08,118.51,122.19,118.4,119.9,41514970
2022-06-09,120.0,120.2,117.7,118.2,29371970
2022-06-10,118.03,119.55,117.73,118.07,25373000
2022-06-14,118.03,119.88,115.8,118.98,37690460
2022-06-15,119.4,121.71,118.71,121.14,52262500
2022-06-16,121.5,123.73,120.41,123.73,47921410
2022-06-17,123.97,125.18,123.11,123.88,36608520
2022-06-20,124.1,131.5,123.6,131.29,65683460
2022-06-21,131.98,133.49,127.11,129.1,75565750
2022-06-22,127.88,133.21,126.03,133.11,67799070
2022-06-23,133.9,138.4,131.5,136.85,108118920
2022-06-24,137.16,138.3,135.21,137.76,45254820
2022-06-27,137.7,141.77,136.77,141.15,69963540
2022-06-28,141.75,142.35,138.5,139.99,54863240
2022-06-29,139.8,139.89,132.75,132.8,55164310
2022-06-30,132.5,135.44,123.55,125.2,91499020
2022-07-01,124.13,132.0,122.5,129.91,60628570
2022-07-04,129.0,132.8,127.16,131.43,48006990
2022-07-05,132.0,135.7,131.43,133.5,51662270
2022-07-06,133.5,137.1,132.5,134.0,47075440
2022-07-07,134.0,135.2,131.22,133.09,43059280
2022-07-08,133.15,133.98,130.9,133.3,27635050
2022-07-11,132.8,133.9,126.42,126.8,53725410
2022-07-12,126.5,129.35,124.2,129.0,57254290
2022-07-13,129.8,129.95,125.36,126.0,45932640
2022-07-14,125.97,128.0,124.61,125.9,41704620
2022-07-15,126.06,129.44,125.27,128.9,44954140
2022-07-18,130.0,130.64,127.25,128.11,35478100
2022-07-19,128.0,128.11,125.51,127.76,32381170
2022-07-20,128.12,129.2,126.16,126.44,34762350
2022-07-21,126.44,126.83,122.24,125.48,53633030
2022-07-22,125.5,129.1,125.03,128.82,46478250
2022-07-25,128.9,132.0,127.24,131.45,55990880
2022-07-26,132.02,133.9,131.0,132.9,50351100
2022-07-27,132.9,134.79,131.62,132.5,42526820
2022-07-28,133.01,133.49,130.1,131.72,40102900
2022-07-29,131.65,132.75,130.31,131.9,27788260
2022-08-01,131.77,131.77,127.34,127.34,44322900
2022-08-02,126.6,128.44,125.6,127.53,44006150
2022-08-03,128.05,129.15,126.27,126.85,30948110
2022-08-04,126.94,128.13,126.16,126.95,19560540
2022-08-05,127.5,127.58,122.24,122.4,61176570
2022-08-08,126.11,127.38,123.51,123.81,53664860
2022-08-09,123.9,126.5,122.3,126.4,37919970
2022-08-10,126.25,127.29,124.87,126.2,31939910
2022-08-11,126.97,126.97,123.07,123.45,30949210
2022-08-12,123.46,124.98,122.6,124.88,27223160
2022-08-15,124.56,125.7,123.28,125.0,25355480
2022-08-16,125.2,126.86,124.53,126.39,27290920
2022-08-17,126.58,127.44,124.5,124.5,32888950
2022-08-18,124.39,126.5,123.92,126.3,25415410
2022-08-19,126.3,126.36,124.72,125.2,18676990
2022-08-22,125.0,126.69,124.7,126.06,24510110
2022-08-23,126.06,130.49,126.01,130.38,65419130
2022-08-24,130.6,131.64,127.85,128.15,45833690
2022-08-25,128.15,129.81,127.1,128.18,36067720
2022-08-26,128.02,130.5,127.62,130.4,32879870
2022-08-29,130.12,131.4,129.52,131.17,40911490
2022-08-30,131.17,132.6,129.65,130.05,51084490
2022-08-31,132.3,138.34,131.5,134.25,107450510
2022-09-01,133.99,138.22,132.02,138.2,54942470
2022-09-02,138.8,144.9,136.22,143.8,136891810
2022-09-05,143.5,145.1,139.11,141.0,87603050
2022-09-06,140.9,141.07,135.22,137.23,86674520
2022-09-07,136.96,139.19,135.41,136.86,60753730
2022-09-08,136.69,137.4,134.0,134.51,57744420
2022-09-09,134.41,138.47,134.23,138.15,49115280
2022-09-12,137.07,140.37,136.8,138.7,52610620
2022-09-13,138.7,139.37,136.15,137.0,44582700
2022-09-14,136.6,139.29,135.2,138.9,62838520
2022-09-15,139.15,140.28,137.61,139.48,56243810
2022-09-16,139.37,141.39,136.8,137.73,71799280
2022-09-19,137.4,139.08,137.07,138.04,33272190
2022-09-20,137.87,138.35,122.42,125.1,208947780
2022-09-21,112.5,123.98,109.27,120.23,136625430
2022-09-22,120.25,126.95,120.25,124.31,117479960
2022-09-23,124.49,124.5,117.35,119.39,85906070
2022-09-26,114.0,117.99,105.0,107.06,148638170
2022-09-27,110.0,113.89,107.07,112.92,90981060
2022-09-28,112.0,115.2,109.13,111.06,77969660
2022-09-29,111.59,112.2,107.68,110.41,67487760
2022-09-30,111.0,113.4,103.4,110.21,133569040
