TRADEDATE,Open,High,Low,Close,Volume
2024-11-28,2390.0,2416.6,2330.4,2367.0,9862491
2024-11-29,2362.0,2424.0,2351.2,2387.8,7774611
2024-12-02,2404.0,2430.6,2388.4,2392.2,6214953
2024-12-03,2397.8,2402.6,2340.0,2352.0,6196687
2024-12-04,2354.0,2386.0,2272.0,2288.6,8309368
2024-12-05,2295.0,2374.6,2283.0,2371.0,9736023
2024-12-06,2376.0,2390.0,2336.0,2350.0,8375821
2024-12-09,2382.8,2410.0,2365.0,2395.0,6292380
2024-12-10,2397.4,2398.0,2342.0,2345.2,6593828
2024-12-11,2346.0,2351.2,2328.4,2346.4,5209213
2024-12-12,2351.0,2358.6,2302.2,2305.4,4913532
2024-12-13,2305.2,2312.8,2285.8,2289.0,4275645
2024-12-16,2284.6,2287.2,2180.2,2182.0,8219587
2024-12-17,2194.6,2221.6,2192.0,2221.4,6763471
2024-12-18,2223.2,2268.0,2207.0,2260.2,7497003
2024-12-19,2260.0,2299.8,2244.4,2272.0,9957933
2024-12-20,2272.0,2600.0,2263.4,2543.0,16773829
2024-12-23,2601.6,2640.0,2572.2,2624.4,12442170
2024-12-24,2621.0,2628.2,2565.2,2569.6,9703547
2024-12-25,2562.2,2641.8,2556.0,2634.4,11111715
2024-12-26,2642.0,2659.0,2622.2,2625.8,7248883
2024-12-27,2630.2,2645.0,2617.0,2637.0,4518292
2024-12-28,2640.0,2665.2,2638.4,2662.8,4057613
2024-12-30,2687.4,2752.2,2677.6,2752.2,5333925
2025-01-03,2755.0,2765.0,2678.0,2687.6,4642298
2025-01-06,2660.0,2717.2,2645.0,2714.0,5521016
2025-01-08,2707.6,2759.0,2705.0,2750.6,4910929
2025-01-09,2752.8,2792.6,2712.8,2734.0,11102461
2025-01-10,2755.0,2900.0,2738.2,2900.0,16996299
2025-01-13,2967.6,2999.0,2874.0,2891.6,16744413
2025-01-14,2873.0,2959.4,2864.6,2938.0,11165469
2025-01-15,2937.4,2995.4,2906.6,2985.6,7182072
2025-01-16,2995.0,3012.2,2965.4,2980.8,4857781
2025-01-17,2985.0,3053.0,2962.0,3052.8,5197476
2025-01-20,3090.0,3108.0,2936.8,2969.8,6848888
2025-01-21,2988.0,3057.6,2970.0,3041.8,3969570
2025-01-22,3044.6,3075.4,2990.0,3005.8,4169278
2025-01-23,3007.0,3025.0,2976.4,3022.2,2892449
2025-01-24,3022.8,3039.0,2996.0,3009.6,2554246
2025-01-27,3011.2,3016.4,2903.2,2912.8,2939497
2025-01-28,2912.8,3013.0,2881.0,3004.6,4782338
2025-01-29,3003.0,3045.0,2990.8,3020.2,3914518
2025-01-30,3021.0,3067.8,3021.0,3057.0,3548643
2025-01-31,3059.6,3098.8,3037.4,3041.8,3858582
2025-02-03,3035.2,3049.0,2990.8,3036.2,3068200
2025-02-04,3037.2,3056.8,2992.8,3000.6,2577578
2025-02-05,3003.0,3086.0,2982.6,3079.8,5044981
2025-02-06,3079.8,3135.0,3079.8,3103.0,4290878
2025-02-07,3107.4,3123.0,3098.0,3105.0,2281690
2025-02-10,3122.0,3188.4,3116.8,3143.8,5373376
2025-02-11,3155.0,3179.4,3145.0,3176.0,3027856
2025-02-12,3180.0,3400.0,3121.2,3373.2,11440493
2025-02-13,3399.0,3454.6,3281.0,3328.0,8467324
2025-02-14,3550.0,3550.0,3300.2,3364.4,9009016
2025-02-17,3412.0,3528.6,3407.0,3492.0,7299395
2025-02-18,3502.6,3513.4,3370.0,3390.6,6430115
2025-02-19,3415.0,3469.8,3382.0,3455.0,3513605
2025-02-20,3461.6,3478.4,3420.0,3436.6,2535378
2025-02-21,3439.6,3459.4,3392.8,3425.0,2372617
2025-02-24,3437.2,3455.0,3403.8,3452.0,1947018
2025-02-25,3456.2,3487.6,3428.0,3434.6,2585382
2025-02-26,3442.4,3455.0,3292.0,3324.8,4009962
2025-02-27,3324.8,3358.6,3235.0,3241.6,4258925
2025-02-28,3238.0,3338.8,3180.8,3287.6,6590703
2025-03-03,3308.8,3313.0,3185.2,3215.2,3760012
2025-03-04,3229.8,3416.0,3223.0,3383.2,4585936
2025-03-05,3378.6,3442.8,3320.0,3327.6,4332986
2025-03-06,3333.8,3390.2,3333.8,3368.2,2914308
2025-03-07,3371.0,3472.6,3331.2,3414.8,6945105
2025-03-10,3424.0,3455.0,3393.8,3422.6,2718188
2025-03-11,3428.8,3451.0,3386.0,3419.8,3267959
2025-03-12,3428.0,3438.8,3390.0,3417.2,2439156
2025-03-13,3422.2,3433.8,3319.6,3374.2,5686390
2025-03-14,3374.8,3448.6,3345.6,3440.4,3145114
2025-03-17,3438.2,3540.0,3438.0,3533.8,3415752
2025-03-18,3538.0,3649.2,3535.8,3564.8,7228220
2025-03-19,3583.4,3641.8,3555.0,3640.0,3306752
2025-03-20,3645.2,3685.0,3596.0,3632.4,3963592
2025-03-21,3640.0,3657.0,3601.4,3605.0,2680612
2025-03-24,3620.0,3624.0,3571.8,3597.6,2574809
2025-03-25,3601.0,3625.0,3547.6,3619.8,3251154
2025-03-26,3624.2,3632.4,3541.4,3557.6,2205657
2025-03-27,3560.0,3563.0,3385.0,3398.8,4634442
2025-03-28,3400.0,3460.0,3285.2,3304.0,6145683
2025-03-31,3299.8,3377.2,3200.0,3365.4,5111433
2025-04-01,3368.0,3424.0,3231.0,3252.2,4635145
2025-04-02,3258.0,3315.6,3225.0,3302.2,3563249
2025-04-03,3315.0,3343.6,3188.2,3272.4,4465284
2025-04-04,3305.0,3313.0,3024.0,3040.0,7285667
2025-04-07,3035.0,3199.0,2868.0,3096.6,12505855
2025-04-08,3115.2,3154.8,2972.4,2999.6,5646723
2025-04-09,2977.0,3153.8,2875.0,3148.8,9178622
2025-04-10,3160.0,3162.0,3055.2,3101.2,4409546
2025-04-11,3116.8,3170.0,3101.2,3169.4,3802686
2025-04-14,3176.2,3193.0,3079.0,3104.0,3572386
2025-04-15,3108.0,3153.8,3084.4,3147.8,2546637
2025-04-16,3135.2,3203.4,3112.0,3172.0,2934512
2025-04-17,3175.0,3225.0,3156.0,3225.0,3543768
2025-04-18,3185.2,3194.8,3127.0,3145.8,3612833
2025-04-21,3169.0,3239.0,3160.0,3225.0,3129888
2025-04-22,3228.0,3303.4,3210.0,3276.2,3814374
2025-04-23,3283.2,3286.0,3177.4,3214.6,4234967
2025-04-24,3220.0,3241.0,3203.2,3212.0,1949164
2025-04-25,3220.0,3289.0,3220.0,3284.4,3488238
2025-04-28,3301.6,3347.8,3268.0,3279.8,4586430
2025-04-29,3288.8,3294.0,3209.8,3224.6,2318600
2025-04-30,3225.0,3228.6,3154.0,3169.8,2833963
2025-05-02,3180.0,3180.0,3002.0,3006.8,2645295
2025-05-05,3009.8,3056.8,2921.0,2946.2,4087190
2025-05-06,2948.8,3098.4,2911.0,3042.0,4417015
2025-05-07,3047.8,3079.4,3012.2,3038.0,3366227
2025-05-08,3048.0,3087.4,3044.0,3055.2,1454793
2025-05-12,3064.4,3166.0,2966.2,3158.4,3920262
2025-05-13,3163.0,3174.2,3146.0,3162.0,1737185
2025-05-14,3162.4,3194.2,3083.2,3084.8,1888835
2025-05-15,3084.0,3133.8,3056.0,3102.0,3057867
2025-05-16,3080.0,3095.0,2995.8,3072.8,3199482
2025-05-19,3080.8,3148.8,3065.0,3085.4,3646340
2025-05-20,3090.8,3103.0,3044.2,3059.0,1667804
2025-05-21,3060.2,3081.0,3001.0,3005.8,1972166
2025-05-22,3007.6,3110.6,2956.2,3060.0,4783855
2025-05-23,3066.0,3109.0,3060.0,3080.8,2243664
2025-05-26,3080.6,3080.6,3012.6,3023.2,1995940
2025-05-27,3027.0,3107.6,2991.0,3107.2,3345309
2025-05-28,3112.2,3227.0,3110.4,3225.0,5147927
2025-05-29,3228.4,3228.4,3165.8,3174.8,2910178
2025-05-30,3176.6,3216.6,3164.8,3191.8,2266731
2025-06-02,3193.6,3210.4,3109.0,3185.0,4610198
2025-06-03,3190.0,3266.0,3189.2,3266.0,2860540
2025-06-04,3272.6,3334.2,3256.0,3286.6,4842464
2025-06-05,3292.0,3324.0,3285.6,3299.0,1676368
2025-06-06,3302.0,3450.0,3195.0,3203.2,8672840
2025-06-09,3213.0,3234.8,3164.4,3203.8,2761010
